ArNr,Artikelbezeichnung,PreisD,Rabattpreis,PreisCH,VE,Lagerbestand_generell,Bestelldatum1,Bestellmenge1,Bestelldatum2,Bestellmenge2,Bestelldatum3,Bestellmenge3,Kategorie,Subkategorie,Lagerbestand_sofort,Exportkennzeichen,Farbe,Groesse,Kennzeichen,Lagerbestand_physisch,
328543,             Schale Huacho kastanie 30cm,    6.99,       0,   12.59,     2,        30,          ,     ,          ,     ,          ,     ,                       KERAMIK,                        SCHALE,             30,1,       kastanie,             12,              328522,30,
328551,      Kübel Seramo natur beige/gold 14cm,    4.29,       0,    5.99,     6,        29,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             29,1,     beige/gold,             14,              328550,29,
328552,      Kübel Seramo natur beige/gold 17cm,    5.59,       0,    7.79,     6,        53,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             53,1,     beige/gold,             17,              328550,53,
328565,            Vase Everest stein-grau 90cm,      65,       0,      89,     1,         8,          ,     ,          ,     ,          ,     ,                       KERAMIK,                          VASE,              8,1,     stein-grau,             90,              328558,8,
328644,                  Kübel Octala braun 9cm,    0.39,       0,    2.29,    16,       131,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,            131, ,undefiniert,              9,                    ,131,
328662,          Kübel Belluno gold-silber 21cm,    3.99,       0,    9.29,     4,        87,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             87,1,    gold-silber,             18,              328659,87,
328667,                Kübel Ibiza mocca 13.5cm,    1.59,       0,    2.09,    12,       180,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,            180, ,undefiniert,           11.5,                    ,180,
328689,             Kübel Lucio ecrú stone 17cm,    1.99,       0,    5.29,     6,       132,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,            132, ,undefiniert,             16,                    ,132,
328720S,                  SORTIMENT Arezzo weiß ,  109.66,       0,  152.66,     1,         0,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              0, ,undefiniert,             14,                    ,0,
328765,          Kübel Lomi anthrazit/gold 21cm,    6.99,       0,    9.79,     4,        10,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             10,1, anthrazit/gold,             17,              328758,10,
328767,          Kübel Lomi anthrazit/gold 30cm,   12.99,       0,   18.19,     1,        29,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             29,1, anthrazit/gold,             25,              328758,29,
328768,              Kübel Serax rund grau 20cm,    6.99,       0,    9.79,     4,         5,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              5,1,           grau,             20,              328768,5,
328769,              Kübel Serax rund grau 25cm,    9.99,       0,   13.99,     2,         4,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              4,1,           grau,             25,              328768,4,
328774,                  Schale Serax grau 20cm,    3.59,       0,    4.99,     6,         5,          ,     ,          ,     ,          ,     ,                          SALE,                        SCHALE,              5,1,           grau,              8,              328768,5,
328777,        Hochtopf Treviso grau antik 25cm,    6.99,       0,    9.99,     6,         6,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,              6,1,     grau antik,             16,              328776,6,
328832S,                   SORTIMENT Fizzi apfel,   267.4,       0,   363.2,     1,         0,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
328839S,                    SORTIMENT Fizzi rosa,   267.4,       0,   363.2,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
328842,                   Kübel Fizzi pink 20cm,    6.29,       0,    8.49,     4,        55,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             55, ,undefiniert,             19,                    ,55,
328846S,                    SORTIMENT Fizzi pink,   267.4,       0,   363.2,     1,         0,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
328883,              Vase Fargo rund stone 20cm,    1.99,       0,    4.29,     6,        47,          ,     ,          ,     ,          ,     ,                       KERAMIK,                          VASE,             47, ,undefiniert,             20,                    ,47,
328884,              Vase Fargo rund stone 30cm,    3.99,       0,    6.59,     4,         7,          ,     ,          ,     ,          ,     ,                       KERAMIK,                          VASE,              7, ,undefiniert,             30,                    ,7,
328885,               Vase Fargo rund weiß 20cm,    1.99,       0,    4.29,     6,        24,          ,     ,          ,     ,          ,     ,                       KERAMIK,                          VASE,             24, ,undefiniert,             20,                    ,24,
328886,               Vase Fargo rund weiß 30cm,    3.99,       0,    6.59,     4,        20,          ,     ,          ,     ,          ,     ,                       KERAMIK,                          VASE,             20, ,undefiniert,             30,                    ,20,
328889,          Vase Fargo rund anthrazit 20cm,    1.99,       0,    4.29,     6,        24,          ,     ,          ,     ,          ,     ,                       KERAMIK,                          VASE,             24, ,undefiniert,             20,                    ,24,
328890,          Vase Fargo rund anthrazit 30cm,    3.99,       0,    6.59,     4,        18,          ,     ,          ,     ,          ,     ,                       KERAMIK,                          VASE,             18, ,undefiniert,             30,                    ,18,
328921,       Kübel Raviolo silber metallic 8cm,    1.49,       0,    1.99,    24,        47,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             47,1,         silber,              8,              328921,47,
328926,    Kübel Raviolo anthrazit metallic 8cm,    1.49,       0,    1.99,    24,       168,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,            168,1,      anthrazit,              8,              328921,168,
328928,   Kübel Raviolo anthrazit metallic 13cm,    2.99,       0,    4.29,    12,        96,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             96,1,      anthrazit,             13,              328921,96,
328971,          Kübel Tiroma grau/kupfer 10cm ,    1.39,       0,    1.99,    12,        84,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,             84,1,    grau/kupfer,             10,              328967,84,
328972,           Kübel Tiroma grau/kupfer 13cm,    1.79,       0,    2.99,     6,        18,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,             18,1,    grau/kupfer,             13,              328967,18,
328975,           Kübel Tiroma blau/kupfer 13cm,    3.69,       0,    5.19,     6,         1,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              1,1,    blau/kupfer,             13,              328967,1,
328984,                   Kübel Trevi weiß 14cm,    2.99,       0,    8.59,     6,        96,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,             96,1,           weiß,             16,              328984,96,
328985,                   Kübel Trevi weiß 18cm,    3.99,       0,   11.19,     4,        24,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,             24,1,           weiß,             19,              328984,24,
328986,                   Kübel Trevi weiß 21cm,    5.99,       0,   16.79,     2,         4,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,              4,1,           weiß,             22,              328984,4,
328988,                  Schale Trevi weiß 24cm,    8.99,       0,   13.99,     4,        24,          ,     ,          ,     ,          ,     ,                          SALE,                        SCHALE,             24,1,           weiß,             10,              328984,24,
328989,                   Kübel Trevi grün 14cm,    2.99,       0,    8.59,     6,        78,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,             78,1,           grün,             16,              328984,78,
328990,                   Kübel Trevi grün 18cm,    3.99,       0,   11.19,     4,        28,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,             28,1,           grün,             19,              328984,28,
328993,                  Schale Trevi grün 24cm,    8.99,       0,   13.99,     4,         8,          ,     ,          ,     ,          ,     ,                          SALE,                        SCHALE,              8,1,           grün,             10,              328984,8,
328994,                   Kübel Trevi rosa 14cm,    2.99,       0,    8.59,     6,        66,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,             66,1,           rosa,             16,              328984,66,
328995,                   Kübel Trevi rosa 18cm,    3.99,       0,   11.19,     4,        28,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,             28,1,           rosa,             19,              328984,28,
328998,                  Schale Trevi rosa 24cm,    8.99,       0,   13.99,     4,         8,          ,     ,          ,     ,          ,     ,                          SALE,                        SCHALE,              8,1,           weiß,             10,              328984,8,
331117,       Kübel Eterno INSPIRIO® creme 15cm,    2.69,       0,    3.79,    12,        36,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,             36,1,          creme,             13,              331116,72,
331186,      Kübel Silano INSPIRIO® weiss 7.5cm,    0.99,       0,    1.29,    24,       242,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,            242,1,           weiß,              7,              331138,482,
331187,     Kübel Silano INSPIRIO® weiss 12.5cm,    1.99,       0,    2.69,    12,       252,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,            252,1,           weiß,             12,              331138,444,
331188,       Kübel Silano INSPIRIO® weiss 14cm,    2.29,       0,    3.09,     6,       162,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,            162,1,           weiß,             14,              331138,330,
331189,       Kübel Silano INSPIRIO® weiss 17cm,    3.19,       0,    4.29,     6,       234,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,            234,1,           weiß,             16,              331138,360,
331190,       Kübel Silano INSPIRIO® weiss 20cm,    5.29,       0,    7.19,     4,       108,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,            108,1,           weiß,             19,              331138,180,
331650,        Kübel Eterno INSPIRIO® weiß 13cm,    1.99,       0,    2.69,    12,       263,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,            263,1,           weiß,             11,              331116,347,
331651,        Kübel Eterno INSPIRIO® weiß 15cm,    2.69,       0,    3.59,    12,       214,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,            214,1,           weiß,             13,              331116,262,
331652,      Kübel Eterno INSPIRIO® weiß 17.5cm,    3.29,       0,    4.59,     8,       150,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,            150,1,           weiß,             15,              331116,182,
331653,        Kübel Eterno INSPIRIO® weiß 20cm,    4.59,       0,    6.29,     6,        84,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,             84,1,           weiß,             17,              331116,108,
331654,        Kübel Eterno INSPIRIO® weiß 25cm,    8.79,       0,   11.99,     2,        62,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,             62,1,           weiß,             22,              331116,84,
331661,           Kübel Silano teal matt 12.5cm,    1.59,       0,    2.19,    12,       192,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,            192,1,      teal matt,             12,              331138,192,
331662,           Kübel Silano teal matt 14.5cm,    2.99,       0,    4.19,     6,        36,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             36,1,      teal matt,             13,              331138,36,
331663,             Kübel Silano teal matt 17cm,    3.99,       0,    5.59,     6,        54,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             54,1,      teal matt,             16,              331138,54,
331664,          Kübel Silano terra matt 12.5cm,    1.59,       0,    2.19,    12,        36,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,             36,1,     terra matt,             12,              331138,36,
331666,            Kübel Silano terra matt 17cm,    3.99,       0,    5.59,     6,        12,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             12,1,     terra matt,             16,              331138,12,
331667,           Kübel Silano senf matt 12.5cm,    1.59,       0,    2.19,    12,        84,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,             84,1,      senf matt,             12,              331138,84,
331668,           Kübel Silano senf matt 14.5cm,    2.99,       0,    4.19,     6,         6,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              6,1,      senf matt,             13,              331138,6,
331670,         Kübel-Aktion Silano matt 12.5cm,   71.28,       0,  100.08,     1,         1,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,      senf matt,undefiniert,              331138,1,
331685,    Mini-Vase Pavona 3 Farben sort. 10cm,    2.39,       0,    3.59,     6,       960,17.01.2022,960  ,          ,     ,          ,     ,                       KERAMIK,                          VASE,              0,1, 3 Farben sort.,         D9xH10,              331685,0,
331686,             Kübel Silano pistazie 7.5cm,    1.49,       0,    2.09,     6,       480,29.11.2021,480  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,       pistazie,              6,              331138,0,
331687,            Kübel Silano pistazie 12.5cm,    2.59,       0,    3.63,     6,       480,29.11.2021,480  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,       pistazie,             12,              331138,0,
331688,            Kübel Silano pistazie 14.5cm,    3.29,       0,    4.61,     6,       360,29.11.2021,360  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,       pistazie,           13.5,              331138,0,
331689,            Kübel Silano pistazie 17.5cm,    5.09,       0,    7.19,     6,       240,29.11.2021,240  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,       pistazie,             16,              331138,0,
331690,            Kübel Silano pistazie 20.5cm,    7.49,       0,   10.49,     4,       160,29.11.2021,160  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,       pistazie,           18.5,              331138,0,
331692,              Kübel Silano vanille 7.5cm,    1.49,       0,    2.09,     6,       480,29.11.2021,480  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        vanille,             63,              331138,0,
331693,             Kübel Silano vanille 12.5cm,    2.59,       0,    3.63,     6,       480,29.11.2021,480  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        vanille,             12,              331138,0,
331694,             Kübel Silano vanille 14.5cm,    3.29,       0,    4.61,     6,       360,29.11.2021,360  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        vanille,           13.5,              331138,0,
331695,             Kübel Silano vanille 17.5cm,    5.09,       0,    7.19,     6,       240,29.11.2021,240  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        vanille,             16,              331138,0,
331696,             Kübel Silano vanille 20.5cm,    7.49,       0,   10.49,     4,       160,29.11.2021,160  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        vanille,           18.5,              331138,0,
331698,              Kübel Silano altrosa 7.5cm,    1.49,       0,    2.09,     6,       480,29.11.2021,480  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        altrosa,             63,              331138,0,
331699,             Kübel Silano altrosa 12.5cm,    2.59,       0,    3.63,     6,       480,29.11.2021,480  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        altrosa,             12,              331138,0,
331700,             Kübel Silano altrosa 14.5cm,    3.29,       0,    4.61,     6,       360,29.11.2021,360  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        altrosa,           13.5,              331138,0,
331701,             Kübel Silano altrosa 17.5cm,    5.09,       0,    7.19,     6,       240,29.11.2021,240  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        altrosa,             16,              331138,0,
331702,             Kübel Silano altrosa 20.5cm,    7.49,       0,   10.49,     4,       160,29.11.2021,160  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        altrosa,           18.5,              331138,0,
331704,           Kübel Damask elfenbein 12.5cm,    2.89,       0,    4.05,     6,       600,28.02.2022,600  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,      elfenbein,             12,              331704,0,
331705,           Kübel Damask elfenbein 14.5cm,    3.29,       0,    4.61,     6,       600,28.02.2022,600  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,      elfenbein,           13.5,              331704,0,
331706,           Kübel Damask elfenbein 17.5cm,    5.49,       0,    7.69,     6,       360,28.02.2022,360  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,      elfenbein,             16,              331704,0,
331707,            Kübel Damask pistazie 12.5cm,    3.49,       0,    4.89,     6,       600,28.02.2022,600  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,       pistazie,             12,              331704,0,
331708,            Kübel Damask pistazie 14.5cm,    3.89,       0,    5.49,     6,       600,28.02.2022,600  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,       pistazie,           13.5,              331704,0,
331709,            Kübel Damask pistazie 17.5cm,    6.99,       0,    9.79,     6,       360,28.02.2022,360  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,       pistazie,             16,              331704,0,
331710,             Kübel Damask vanille 12.5cm,    3.49,       0,    4.89,     6,       600,28.02.2022,600  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        vanille,             12,              331704,0,
331711,             Kübel Damask vanille 14.5cm,    3.89,       0,    5.49,     6,       600,28.02.2022,600  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        vanille,           13.5,              331704,0,
331712,             Kübel Damask vanille 17.5cm,    6.99,       0,    9.79,     6,       360,28.02.2022,360  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        vanille,             16,              331704,0,
331713,             Kübel Damask altrosa 12.5cm,    3.49,       0,    4.89,     6,       600,28.02.2022,600  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        altrosa,             12,              331704,0,
331714,             Kübel Damask altrosa 14.5cm,    3.89,       0,    5.49,     6,       600,28.02.2022,600  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        altrosa,           13.5,              331704,0,
331715,             Kübel Damask altrosa 17.5cm,    6.99,       0,    9.79,     6,       360,28.02.2022,360  ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              0,1,        altrosa,             16,              331704,0,
332005,             Galeria Silano Lip 140 tlg.,   446.6,       0,       0,     1,        -1,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,-1,
332121,        Kübel Silano INSPIRIO® weiß 10cm,    1.79,       0,    2.39,    16,       316,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,            316,1,           weiß,             10,              331186,364,
332693,        Geschirr-Set Pavona crema 16tlg.,   49.99,       0,   69.99,     1,         2,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              2,1,          crema,undefiniert,              332693,2,
332694,         Geschirr-Set Pavona grau 16tlg.,   49.99,       0,   69.99,     1,         8,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              8,1,           grau,undefiniert,              332693,8,
332695,        Geschirr-Set Pavona mocca 16tlg.,   49.99,       0,   69.99,     1,         8,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              8,1,          mocca,undefiniert,              332693,8,
341198,      Pflanztopf Topanga green sand 16cm,    5.99,       0,    8.39,     6,         6,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              6,1,     green sand,             15,              341196,6,
341260,                Vase Spirello taupe 60cm,   29.99,       0,      72,     1,         2,          ,     ,          ,     ,          ,     ,                       KERAMIK,                          VASE,              2, ,undefiniert,             60,                    ,2,
341261,                Vase Spirello taupe 80cm,      47,       0,     115,     1,         6,          ,     ,          ,     ,          ,     ,                       KERAMIK,                          VASE,              6, ,undefiniert,             80,                    ,6,
341293S,       Sortiment Florélie pastell floral,   11.79,       0,   16.49,     6,         0,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              0,0,undefiniert,             30,                    ,0,
341429S,             SORTIMENT Pepe Rustico mint,   80.82,       0,  107.82,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
341432S,             SORTIMENT Pepe Rustico rosé,   80.82,       0,  107.82,     1,         0,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
341435S,             SORTIMENT Pepe Rustico grau,   80.82,       0,  107.82,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
341460,            Kübel Colette soft blue 15cm,    2.99,       0,    4.99,    12,        12,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,             12,1,      soft blue,              9,              341446,12,
341462,            Kübel Colette soft blue 24cm,    5.99,       0,    8.99,     2,         4,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,              4,1,      soft blue,             15,              341446,4,
341464,           Schale Colette soft blue 30cm,    6.99,       0,    9.99,     2,         2,          ,     ,          ,     ,          ,     ,                          SALE,                        SCHALE,              2,1,      soft blue,             13,              341446,2,
341622,                Kübel Spirello weiß 40cm,   19.99,       0,   46.99,     1,        14,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,             14, ,undefiniert,             40,                    ,14,
341623,                Kübel Spirello weiß 50cm,   45.99,       0,   59.99,     1,         5,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              5, ,undefiniert,             50,                    ,5,
341624,                  Kübel Mavila weiß 16cm,    4.89,       0,    6.79,     6,        42,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             42,1,           weiß,             14,              341624,42,
341625,                  Kübel Mavila weiß 20cm,    7.29,       0,   10.19,     4,        24,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             24,1,           weiß,             17,              341624,24,
341638,                  Kübel Mavila grün 22cm,    5.99,       0,    7.79,     2,       116,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,            116, ,undefiniert,             19,                    ,116,
341643,                  Kübel Mavila grau 14cm,    1.99,       0,    2.59,     6,       240,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,            240, ,undefiniert,undefiniert,                    ,240,
341810S,                    SORTIMENT Tomba rosé,  289.15,       0,  359.36,     1,         0,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
341813,                   Kübel Tomba mint 21cm,    6.79,       0,    8.29,     4,        28,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             28,1,           mint,             16,              848100,28,
341814,                   Kübel Tomba mint 25cm,    9.99,       0,   12.79,     2,         4,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              4,1,           mint,             19,              848100,4,
341815,                   Kübel Tomba mint 32cm,   15.99,       0,   19.59,     1,        16,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             16,1,           mint,           24.5,              848100,16,
341816,                   Kübel Tomba mint 36cm,   20.99,       0,   25.59,     1,        16,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             16,1,           mint,             27,              848100,16,
341819S,                    SORTIMENT Tomba mint,  289.15,       0,  359.36,     0,         0,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
341828S,                    SORTIMENT Tomba grau,  289.15,       0,  359.36,     1,        -2,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,-2,
341831S,                 SORTIMENT Torbole rosé ,   73.02,       0,   98.82,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
341834S,                  SORTIMENT Torbole mint,   73.02,       0,   98.82,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
341837S,                  SORTIMENT Torbole grau,   73.02,       0,   98.82,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
341839,             Kübel Tomba chinchilla 16cm,    3.79,       0,    4.99,     8,        24,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             24,1,     chinchilla,             12,              848100,24,
341840,             Kübel Tomba chinchilla 19cm,    4.79,       0,    5.99,     6,         4,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              4,1,     chinchilla,             14,              848100,4,
341841,             Kübel Tomba chinchilla 21cm,    6.79,       0,    8.29,     4,         2,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              2,1,     chinchilla,             16,              848100,2,
341854,                 Kübel Tomba lagoon 36cm,   15.99,       0,   22.99,     1,        11,          ,     ,          ,     ,          ,     ,                          SALE,                         KÜBEL,             11,1,         lagoon,             27,              848100,11,
341857,                  Vase Tomba lagoon 90cm,      39,       0,      55,     1,        14,          ,     ,          ,     ,          ,     ,                          SALE,                          VASE,             14,1,         lagoon,             90,              848100,14,
341909,                   Vase Mavila weiß 50cm,   24.99,       0,   34.99,     1,        16,          ,     ,          ,     ,          ,     ,                       KERAMIK,                          VASE,             16,1,           weiß,             50,              341624,16,
341910,                   Vase Mavila weiß 70cm,      49,       0,      69,     1,        13,          ,     ,          ,     ,          ,     ,                       KERAMIK,                          VASE,             13,1,           weiß,             70,              341624,13,
341912,    Kübel Mavila anthrazit metallic 16cm,    4.89,       0,    6.79,     6,         1,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,              1,1,anthrazit metal,             14,              341624,1,
342111,                    Kübel Tomba rot 36cm,   20.99,       0,   25.59,     1,        18,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         KÜBEL,             18,1,            rot,             27,              848100,20,
342202S,                    SORTIMENT Tomba weiß,  289.15,       0,  359.36,     1,        -1,17.01.2022,15   ,28.03.2022,15   ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
342210,                  Vase Tomba orange 70cm,   19.99,       0,      49,     1,        11,          ,     ,          ,     ,          ,     ,                          SALE,                          VASE,             11,1,         orange,             70,              848100,11,
345100,        Kübel Ballo INSPIRIO® creme 23cm,   12.59,       0,   16.29,     2,        80,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,             80,1,          creme,           12.5,              345100,84,
345101,        Kübel Ballo INSPIRIO® creme 27cm,   16.99,       0,   21.99,     1,        64,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,             64,1,          creme,             14,              345100,66,
345102,        Kübel Ballo INSPIRIO® creme 35cm,   21.59,       0,   27.99,     1,        31,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,             31,1,          creme,             17,              345100,31,
345108,         Kübel Ballo INSPIRIO® weiß 27cm,   16.99,       0,   21.99,     1,        26,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,             26,1,           weiß,           22.5,              345100,30,
345109,         Kübel Ballo INSPIRIO® weiß 35cm,   21.59,       0,   27.99,     1,        19,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,             19,1,           weiß,             27,              345100,19,
345110,         Kübel Ballo INSPIRIO® weiß 23cm,   12.59,       0,   16.29,     2,        20,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                         KÜBEL,             20,1,           weiß,             20,              345100,20,
345201,          Vase Oyyo INSPIRIO® creme 20cm,   14.79,       0,   19.29,     2,        19,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                          VASE,             19,1,          creme,             20,              345201,19,
345202,        Vase Oyyo INSPIRIO® creme 22.5cm,   18.29,       0,   23.79,     1,        11,          ,     ,          ,     ,          ,     ,                      INSPIRIO,                          VASE,             11,1,          creme,           22.5,              345201,11,
